Timestamp,XP
2025-02-21 19:53:30,"30,493,525,909 XP"
2025-02-21 19:54:30,"30,499,580,080 XP"
2025-02-21 19:55:30,"30,505,644,282 XP"
2025-02-21 19:56:30,"30,511,628,307 XP"
2025-02-21 19:57:30,"30,517,642,372 XP"
2025-02-21 19:58:30,"30,523,626,388 XP"
2025-02-21 19:59:30,"30,529,650,495 XP"
2025-02-21 20:00:30,"30,535,079,576 XP"
2025-02-21 20:01:30,"30,539,759,905 XP"
2025-02-21 20:02:30,"30,544,409,226 XP"
2025-02-21 20:03:30,"30,549,027,556 XP"
2025-02-21 20:04:30,"30,553,669,150 XP"
2025-02-21 20:05:30,"30,558,349,480 XP"
2025-02-21 20:06:30,"30,562,983,324 XP"
2025-02-21 20:07:30,"30,567,671,395 XP"
2025-02-21 20:08:30,"30,572,297,478 XP"
2025-02-21 20:09:30,"30,576,954,549 XP"
2025-02-21 20:10:30,"30,581,619,357 XP"
2025-02-21 20:11:30,"30,586,253,179 XP"
2025-02-21 20:12:30,"30,590,933,493 XP"
2025-02-21 20:13:30,"30,595,567,325 XP"
2025-02-21 20:14:30,"30,600,201,156 XP"
2025-02-21 20:15:30,"30,604,889,227 XP"
2025-02-21 20:16:30,"30,609,484,314 XP"
2025-02-21 20:17:30,"30,614,125,888 XP"
2025-02-21 20:18:30,"30,618,813,964 XP"
2025-02-21 20:19:30,"30,623,447,808 XP"
2025-02-21 20:20:31,"30,628,089,392 XP"
2025-02-21 20:21:31,"30,632,777,468 XP"
2025-02-21 20:22:31,"30,637,388,058 XP"
2025-02-21 20:23:31,"30,642,083,882 XP"
2025-02-21 20:24:31,"30,646,740,961 XP"
2025-02-21 20:25:28,"30,651,359,301 XP"
2025-02-21 20:26:29,"30,656,008,626 XP"
2025-02-21 20:27:29,"30,660,657,964 XP"
2025-02-21 20:28:29,"30,665,291,798 XP"
2025-02-21 20:29:29,"30,669,941,129 XP"
2025-02-21 20:30:29,"30,674,636,953 XP"
2025-02-21 20:31:29,"30,679,286,279 XP"
2025-02-21 20:32:29,"30,683,896,854 XP"
2025-02-21 20:33:29,"30,688,538,424 XP"
2025-02-21 20:34:29,"30,693,226,494 XP"
2025-02-21 20:35:29,"30,697,860,341 XP"
2025-02-21 20:36:29,"30,702,548,426 XP"
2025-02-21 20:37:29,"30,707,135,766 XP"
2025-02-21 20:38:29,"30,711,785,089 XP"
2025-02-21 20:39:29,"30,716,434,431 XP"
2025-02-21 20:40:29,"30,721,114,758 XP"
2025-02-21 20:41:29,"30,725,764,103 XP"
2025-02-21 20:42:29,"30,730,397,935 XP"
